ORF,YPD rep1 fitness,YPD rep1 Q-value,YPD rep2 fitness,YPD rep2 Q-value,YPG fitness,YPG Q-value,YPE fitness,YPE Q-value,SC fitness,SC Q-value,OAK fitness,OAK Q-value,ETH fitness,ETH Q-value
YAL001C,0.969,0.01253,0.9903,0.08526,0.8871,0,0.9602,0.00265,1.0131,0.02647,0.8678,0.00003,0.9992,0.37113
YAL002W,0.9185,0,0.9,0,0.9235,0,0.8953,0,0.9486,0,0.1599,0,0.964,0
YAL004W,1.0083,0.36167,1.0094,0.09289,0.9514,0,0.9602,0.00266,1.0372,0,0.8117,0,1.0058,0.20994
YAL005C,0.9966,0.47376,1.0038,0.31574,0.9374,0,0.9197,0,1.0301,0,0.7887,0,1.0017,0.34266
YAL007C,0.9909,0.34477,1.0043,0.29189,1.0127,0.1129,1.0182,0.11565,1.0275,0.00001,0.9477,0.10557,1.0075,0.16196
YAL008W,1.0044,0.45082,1.0025,0.37905,1.009,0.18729,1.0162,0.14371,1.0514,0,1.0101,0.4533,1.0002,0.38595
YAL009W,0.8571,0,0.8737,0,0.7478,0,0.9137,0,0.9875,0.03377,0.5651,0,0.8918,0
YAL011W,0.9393,0,0.9272,0,1.0247,0.00739,1.0133,0.19194,1.0366,0,0.833,0,0.8425,0
YAL013W,0.8895,0,0.8735,0,0.8357,0,0.7859,0,0.9708,0,1.0074,0.47581,0.5906,0
YAL014C,1.0383,0.00182,1.0057,0.22697,1.0576,0,1.0556,0.00003,1.0666,0,0.993,0.47798,1.0038,0.27503
YAL015C,0.957,0.00042,0.9544,0,0.9808,0.03217,0.9693,0.01827,0.998,0.3604,0.7874,0,0.9491,0
YAL017W,0.9808,0.12054,0.9885,0.04653,0.9925,0.22264,0.9816,0.11216,1.0407,0,0.9965,0.50583,0.9985,0.34787
YAL018C,1.0055,0.42728,0.9977,0.38826,1.0084,0.20288,1.0056,0.33389,1.0408,0,1.0299,0.28194,1.0008,0.37062
YAL019W,0.9997,0.53291,1.0097,0.08367,1.0134,0.09938,0.9911,0.27087,1.02,0.00103,0.955,0.15449,0.9824,0.0106
YAL020C,0.9706,0.01817,0.9876,0.03236,0.9366,0,0.9252,0,1.0295,0,0.8711,0.00004,0.9233,0
YAL021C,0.7469,0,0.7616,0,0.7566,0,0.8648,0,0.8227,0,0.4612,0,0.8578,0
YAL022C,1.0473,0.0001,1.0194,0.00094,1.0593,0,1.0546,0.00004,1.0769,0,1.0242,0.33213,1.0193,0.0055
YAL023C,0.9036,0,0.9142,0,0.9579,0.00001,0.9978,0.3977,0.8244,0,0.828,0,0.9114,0
YAL024C,0.8999,0,0.8892,0,0.7191,0,0.7523,0,0.9908,0.0959,0.8091,0,0.9658,0
YAL026C,0.8947,0,0.9087,0,0.8749,0,0.8319,0,0.9645,0,0.701,0,0.8405,0
YAL027W,1.0007,0.52617,1.0108,0.0586,1.0125,0.11622,1.0175,0.12531,1.0485,0,0.8139,0,1.0118,0.0643
YAL028W,1.0028,0.48661,1.0061,0.21108,1.0164,0.05776,0.997,0.38207,1.0561,0,0.9608,0.19867,1.0114,0.07043
YAL029C,0.9995,0.53102,1,0.47728,1.0006,0.38239,1.0101,0.24974,0.9786,0.00044,0.9106,0.00537,1.0017,0.34243
YAL030W,0.9966,0.47365,1.0066,0.19093,1.0132,0.10259,1.0096,0.25849,1.0509,0,1.0047,0.49746,1.0116,0.06781
YAL031C,0.9689,0.01241,0.991,0.10243,0.9868,0.10319,0.9924,0.29658,1.0506,0,0.9977,0.51382,0.9896,0.08954
YAL034C,1.0059,0.41718,1.0077,0.14934,1.0137,0.09552,1.0242,0.05311,1.048,0,1.0247,0.32745,1.0098,0.10385
