"ensembl_gene_id"	"external_gene_id"	"description"
"1"	"ENSMUSG00000000142"	"Axin2"	"axin2 [Source:MGI Symbol;Acc:MGI:1270862]"
"2"	"ENSMUSG00000000275"	"Trim25"	"tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]"
"3"	"ENSMUSG00000000339"	"Rtca"	"RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]"
"4"	"ENSMUSG00000000340"	"Dbt"	"dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]"
"5"	"ENSMUSG00000000346"	"Dazap2"	"DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"
"6"	"ENSMUSG00000000355"	"Mcts1"	"malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]"
"7"	"ENSMUSG00000000384"	"Tbrg4"	"transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"8"	"ENSMUSG00000000439"	"Mkrn2"	"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"9"	"ENSMUSG00000000552"	"Zfp385a"	"zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]"
"10"	"ENSMUSG00000000563"	"Atp5f1"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 [Source:MGI Symbol;Acc:MGI:1100495]"
"11"	"ENSMUSG00000000568"	"Hnrnpd"	"heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"
"12"	"ENSMUSG00000000628"	"Hk2"	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"
"13"	"ENSMUSG00000000631"	"Myo18a"	"myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]"
"14"	"ENSMUSG00000000690"	"Hoxb6"	"homeobox B6 [Source:MGI Symbol;Acc:MGI:96187]"
"15"	"ENSMUSG00000000740"	"Rpl13"	"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"
"16"	"ENSMUSG00000000751"	"Rpa1"	"replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]"
"17"	"ENSMUSG00000000787"	"Ddx3x"	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
"18"	"ENSMUSG00000000826"	"Dnajc5"	"DnaJ (Hsp40) homolog, subfamily C, member 5 [Source:MGI Symbol;Acc:MGI:892995]"
"19"	"ENSMUSG00000000827"	"Tpd52l2"	"tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]"
"20"	"ENSMUSG00000000838"	"Fmr1"	"fragile X mental retardation syndrome 1 [Source:MGI Symbol;Acc:MGI:95564]"
"21"	"ENSMUSG00000000916"	"Nsun5"	"NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]"
"22"	"ENSMUSG00000000948"	"Snrpn"	"small nuclear ribonucleoprotein N [Source:MGI Symbol;Acc:MGI:98347]"
"23"	"ENSMUSG00000000976"	"Heatr6"	"HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]"
"24"	"ENSMUSG00000001016"	"Ilf2"	"interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]"
"25"	"ENSMUSG00000001017"	"Chtop"	"chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]"
"26"	"ENSMUSG00000001020"	"S100a4"	"S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]"
"27"	"ENSMUSG00000001056"	"Nhp2"	"NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
"28"	"ENSMUSG00000001120"	"Pcbp3"	"poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]"
"29"	"ENSMUSG00000001228"	"Uhrf1"	"ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"
"30"	"ENSMUSG00000001270"	"Ckb"	"creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
"31"	"ENSMUSG00000001289"	"Pfdn5"	"prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]"
"32"	"ENSMUSG00000001305"	"Rrp15"	"ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473]"
"33"	"ENSMUSG00000001403"	"Ube2c"	"ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]"
"34"	"ENSMUSG00000001415"	"Smg5"	"Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:2447364]"
"35"	"ENSMUSG00000001416"	"Cct3"	"chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]"
"36"	"ENSMUSG00000001424"	"Snd1"	"staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]"
"37"	"ENSMUSG00000001435"	"Col18a1"	"collagen, type XVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88451]"
"38"	"ENSMUSG00000001440"	"Kpnb1"	"karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532]"
"39"	"ENSMUSG00000001445"	"Mrpl10"	"mitochondrial ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:1333801]"
"40"	"ENSMUSG00000001472"	"Tcf25"	"transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105]"
"41"	"ENSMUSG00000001506"	"Col1a1"	"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]"
"42"	"ENSMUSG00000001525"	"Tubb5"	"tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]"
"43"	"ENSMUSG00000001552"	"Jup"	"junction plakoglobin [Source:MGI Symbol;Acc:MGI:96650]"
"44"	"ENSMUSG00000001569"	"Nom1"	"nucleolar protein with MIF4G domain 1 [Source:MGI Symbol;Acc:MGI:1861749]"
"45"	"ENSMUSG00000001604"	"Tcea3"	"transcription elongation factor A (SII), 3 [Source:MGI Symbol;Acc:MGI:1196908]"
"46"	"ENSMUSG00000001674"	"Ddx18"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192]"
"47"	"ENSMUSG00000001741"	"Il16"	"interleukin 16 [Source:MGI Symbol;Acc:MGI:1270855]"
"48"	"ENSMUSG00000001767"	"Crnkl1"	"Crn, crooked neck-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1914127]"
"49"	"ENSMUSG00000001774"	"Chordc1"	"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 [Source:MGI Symbol;Acc:MGI:1914167]"
"50"	"ENSMUSG00000001783"	"Rtcb"	"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]"
"51"	"ENSMUSG00000001785"	"Pwp1"	"PWP1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914735]"
"52"	"ENSMUSG00000001847"	"Rac1"	"RAS-related C3 botulinum substrate 1 [Source:MGI Symbol;Acc:MGI:97845]"
"53"	"ENSMUSG00000001909"	"Trmt1"	"tRNA methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1289155]"
"54"	"ENSMUSG00000001918"	"Slc1a5"	"solute carrier family 1 (neutral amino acid transporter), member 5 [Source:MGI Symbol;Acc:MGI:105305]"
"55"	"ENSMUSG00000001924"	"Uba1"	"ubiquitin-like modifier activating enzyme 1 [Source:MGI Symbol;Acc:MGI:98890]"
"56"	"ENSMUSG00000001962"	"Fam50a"	"family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]"
"57"	"ENSMUSG00000001983"	"Taco1"	"translational activator of mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:1917457]"
"58"	"ENSMUSG00000002015"	"Bcap31"	"B cell receptor associated protein 31 [Source:MGI Symbol;Acc:MGI:1350933]"
"59"	"ENSMUSG00000002017"	"Fam98a"	"family with sequence similarity 98, member A [Source:MGI Symbol;Acc:MGI:1919972]"
"60"	"ENSMUSG00000002052"	"Supt6"	"suppressor of Ty 6 [Source:MGI Symbol;Acc:MGI:107726]"
"61"	"ENSMUSG00000002107"	"Celf2"	"CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]"
"62"	"ENSMUSG00000002129"	"Sf3a1"	"splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]"
"63"	"ENSMUSG00000002190"	"Clgn"	"calmegin [Source:MGI Symbol;Acc:MGI:107472]"
"64"	"ENSMUSG00000002210"	"Smg9"	"smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:1919247]"
"65"	"ENSMUSG00000002227"	"Mov10"	"Moloney leukemia virus 10 [Source:MGI Symbol;Acc:MGI:97054]"
"66"	"ENSMUSG00000002319"	"Ipo4"	"importin 4 [Source:MGI Symbol;Acc:MGI:1923001]"
"67"	"ENSMUSG00000002372"	"Ranbp3"	"RAN binding protein 3 [Source:MGI Symbol;Acc:MGI:1919060]"
"68"	"ENSMUSG00000002428"	"Hltf"	"helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"
"69"	"ENSMUSG00000002455"	"Prpf6"	"PRP6 pre-mRNA splicing factor 6 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1922946]"
"70"	"ENSMUSG00000002477"	"Snrpd1"	"small nuclear ribonucleoprotein D1 [Source:MGI Symbol;Acc:MGI:98344]"
"71"	"ENSMUSG00000002524"	"Puf60"	"poly-U binding splicing factor 60 [Source:MGI Symbol;Acc:MGI:1915209]"
"72"	"ENSMUSG00000002580"	"Mien1"	"migration and invasion enhancer 1 [Source:MGI Symbol;Acc:MGI:1913678]"
"73"	"ENSMUSG00000002625"	"Akap8l"	"A kinase (PRKA) anchor protein 8-like [Source:MGI Symbol;Acc:MGI:1860606]"
"74"	"ENSMUSG00000002658"	"Gtf2f1"	"general transcription factor IIF, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1923848]"
"75"	"ENSMUSG00000002718"	"Cse1l"	"chromosome segregation 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1339951]"
"76"	"ENSMUSG00000002731"	"Prkra"	"protein kinase, interferon inducible double stranded RNA dependent activator [Source:MGI Symbol;Acc:MGI:1344375]"
"77"	"ENSMUSG00000002767"	"Mrpl2"	"mitochondrial ribosomal protein L2 [Source:MGI Symbol;Acc:MGI:1351622]"
"78"	"ENSMUSG00000002797"	"Ggct"	"gamma-glutamyl cyclotransferase [Source:MGI Symbol;Acc:MGI:95700]"
