ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YAL001C,Both,1.25E+02,-,0.74,0
YAL002W,Both,7.36E+02,-,0.73,0
YAL003W,None,-,-,0.69,0
YAL004W,None,-,-,0.2,0
YAL005C,Both,2.69E+05,-,0.73,0
YAL007C,Both,2.63E+04,-,0.73,0
YAL008W,Both,1.92E+03,-,0.31,0
YAL009W,Both,8.61E+02,-,0.4,0
YAL010C,Both,7.68E+02,-,0.49,0
YAL011W,Both,1.38E+03,-,0.76,0
YAL012W,Both,3.83E+04,-,0.61,0
YAL013W,None,-,-,0.35,0
YAL014C,GFP,-,-,0.37,0
YAL015C,Both,#,-,0.57,0
YAL016W,Both,1.69E+04,-,0.75,0
YAL017W,Both,9.67E+02,-,0.81,0
YAL018C,None,-,-,0.46,0
YAL019W,Both,6.80E+03,-,0.85,0
YAL020C,None,-,-,0.03,0
YAL021C,Both,2.78E+03,-,0.51,0
YAL022C,TAP,2.17E+02,-,0.32,0
YAL023C,Both,6.51E+03,-,0.56,0
YAL024C,Both,3.04E+02,-,0.7,0
YAL025C,None,-,-,0.72,0
YAL026C,Both,6.06E+02,-,0.89,0
YAL027W,Both,1.17E+03,-,0.58,0
YAL028W,None,-,-,0.53,0
YAL029C,Both,2.21E+03,-,0.87,0
YAL030W,None,-,-,0.49,0
YAL031C,Both,2.27E+02,-,0.55,0
YAL032C,Both,1.67E+03,2.01E+02,0.73,0
YAL033W,Both,2.23E+03,-,0.25,0
YAL034C,None,-,-,0.37,0
YAL034W-A,Both,2.61E+03,-,0.55,0
YAL035C-A,None,-,-,-,0
YAL035W,Both,1.34E+04,-,0.87,0
YAL036C,Both,1.17E+04,-,0.63,0
YAL037W,None,-,-,0.35,0
YAL038W,Both,2.91E+05,2.41E+04,0.61,0
YAL039C,Both,3.87E+03,-,0.33,0
YAL040C,None,-,-,0.47,0
YAL041W,Both,1.01E+03,-,0.63,0
YAL042W,None,-,-,0.36,0
YAL043C,Both,3.73E+03,-,0.52,0
YAL043C-A,None,-,-,-,0
YAL044C,Both,3.51E+03,-,0.51,0
YAL044W-A,TAP,2.38E+02,-,0.37,0
YAL045C,None,-,-,0.02,1
YAL046C,TAP,2.59E+02,-,0.24,0
YAL047C,Both,6.39E+02,-,0.66,0
YAL048C,None,-,-,0.72,0
YAL049C,Both,1.80E+03,-,0.61,0
YAL051W,TAP,9.23E+01,-,0.78,0
YAL053W,Both,4.14E+02,-,0.54,0
YAL054C,Both,2.89E+03,-,0.75,0
YAL055W,Both,2.59E+02,-,0.45,0
YAL056W,Both,%,-,0.68,0
YAL058C-A,None,-,-,-,0
YAL058W,Both,4.76E+03,-,0.54,0
YAL059W,Both,2.84E+03,-,0.75,0
YAL060W,Both,8.73E+03,-,0.67,0
YAL061W,Both,3.09E+03,-,0.55,0
YAL062W,None,-,-,0.57,0
YAL063C,None,-,-,0.33,0
YAL064C-A,None,-,-,0.43,0
YAL064W,None,-,-,0.04,1
YAL064W-B,None,-,-,0.11,1
YAL065C,None,-,-,0.26,0
YAL066W,None,-,-,0,1
YAL067C,None,-,-,0.64,0
YAL068C,None,-,-,0.47,0
YAL069W,None,-,-,-0.18,1
YAR002C-A,Both,2.07E+04,-,0.68,0
YAR002W,Both,4.59E+03,-,0.69,0
YAR003W,Both,9.07E+02,-,0.61,0
YAR007C,Both,4.10E+03,4.86E+02,0.85,0
YAR008W,None,-,-,0.64,0
YAR009C,Both,2.22E+03,-,0.7,0
YAR014C,Both,5.38E+02,-,0.66,0
YAR015W,Both,4.28E+03,-,0.77,0
YAR018C,None,-,-,0.62,0
YAR019C,Both,2.38E+02,-,0.63,0
YAR020C,None,-,-,0.48,0
YAR023C,None,-,-,0.32,0
YAR027W,Both,1.69E+03,-,0.51,0
YAR028W,Both,1.84E+03,-,0.41,0
YAR029W,None,-,-,0.32,0
YAR030C,None,-,-,-0.09,1
YAR031W,TAP,2.59E+02,-,0.44,0
YAR033W,None,-,-,0.41,0
YAR035W,None,-,-,0.04,0
YAR042W,None,-,-,0.27,0
YAR044W,Both,8.46E+02,-,0.84,0
YAR047C,None,-,-,0.08,1
YAR050W,None,-,-,0.33,0
YAR053W,None,-,-,0.03,1
YAR060C,None,-,-,0.19,1
YAR061W,None,-,-,-0.02,1
YAR062W,TAP,%,-,0.49,0
YAR064W,TAP,1.52E+03,-,-0.1,0
YAR066W,None,-,-,0.54,0
YAR068W,None,-,-,-0.03,1
YAR069C,None,-,-,0.15,1
YAR070C,None,-,-,-0.02,1
YAR071W,Both,1.46E+03,-,0.66,0
YAR073W,None,-,-,0.72,0
YAR075W,None,-,-,0.56,0
YBL001C,Both,1.90E+03,-,0.5,0
YBL002W,Both,4.43E+05,-,0.59,0
YBL003C,Both,3.21E+04,-,0.58,0
YBL004W,GFP,-,-,0.79,0
YBL005W,Both,1.66E+02,-,0.73,0
YBL006C,None,-,-,0.13,1
YBL007C,Both,9.52E+02,-,0.78,0
YBL008W,Both,8.46E+02,-,0.77,0
YBL009W,None,-,-,0.6,0
YBL010C,Both,1.32E+03,-,0.65,0
YBL011W,Both,1.05E+03,-,0.73,0
YBL012C,None,-,-,-0.08,1
YBL013W,Both,1.07E+03,-,0.17,0
YBL014C,Both,2.37E+02,3.63E+01,0.67,0
YBL015W,Both,4.89E+03,-,0.71,0
YBL016W,Both,8.48E+03,-,0.41,0
YBL017C,Both,7.21E+03,-,0.83,0
YBL018C,Both,4.87E+03,-,0.59,0
YBL019W,Both,4.14E+02,-,0.65,0
YBL020W,None,-,-,0.44,0
YBL021C,Both,2.51E+03,-,0.32,0
YBL022C,Both,1.45E+04,-,0.92,0
YBL023C,Both,1.69E+03,2.61E+02,0.78,0
YBL024W,Both,1.61E+04,-,0.84,0
YBL025W,Both,%,-,0.46,0
YBL026W,Both,2.21E+03,-,0.51,0
YBL027W,Both,2.25E+05,-,0.53,0
YBL028C,Both,6.21E+03,-,0.6,0
YBL029C-A,Both,9.96E+02,-,0.08,0
YBL029W,Both,%,-,0.43,0
YBL030C,None,-,-,0.59,0
YBL031W,Both,2.64E+02,-,0.41,0
YBL032W,Both,1.56E+04,-,0.6,0
YBL033C,Both,9.52E+03,-,0.49,0
YBL034C,Both,5.21E+02,-,0.74,0
YBL035C,Both,1.12E+04,1.70E+03,0.78,0
YBL036C,Both,4.89E+03,-,0.86,0
YBL037W,Both,1.59E+03,-,0.75,0
YBL038W,Both,2.88E+03,-,0.58,0
YBL039C,Both,5.76E+04,-,0.77,0
YBL040C,Both,%,-,0.28,0
YBL041W,None,-,-,0.65,0
YBL042C,Both,%,-,0.55,0
YBL043W,None,-,-,0.66,0
YBL044W,None,-,-,0.03,1
YBL045C,Both,1.93E+04,-,0.71,0
YBL046W,Both,1.01E+03,-,0.62,0
YBL047C,Both,1.38E+03,-,0.83,0
YBL048W,None,-,-,0.02,1
YBL049W,None,-,-,0.23,1
YBL050W,None,-,-,0.65,0
YBL051C,Both,4.63E+03,-,0.61,0
YBL052C,Both,%,-,0.66,0
YBL053W,None,-,-,0,1
YBL054W,Both,8.30E+02,-,0.52,0
YBL055C,Both,1.46E+03,-,0.69,0
YBL056W,Both,1.97E+04,-,0.76,0
YBL057C,Both,2.19E+03,-,0.63,0
YBL058W,Both,3.20E+03,-,0.83,0
YBL059C-A,Both,2.79E+02,-,0.58,0
YBL059W,Both,6.23E+02,-,0.28,0
YBL060W,Both,%,-,0.8,0
YBL061C,Both,2.58E+03,-,0.67,0
YBL062W,None,-,-,0.24,1
YBL063W,Both,5.69E+01,-,0.71,0
YBL064C,Both,4.51E+03,-,0.7,0
YBL065W,None,-,-,0.05,1
YBL066C,None,-,-,0.67,0
YBL067C,Both,1.25E+02,-,0.7,0
YBL068W,Both,5.28E+03,-,0.69,0
YBL069W,GFP,-,-,0.72,0
YBL070C,None,-,-,0.08,1
YBL071C,None,-,-,0.18,1
YBL071W-A,Both,8.40E+03,-,0.45,0
YBL072C,Both,1.59E+04,-,0.58,0
YBL073W,None,-,-,-0.03,1
YBL074C,Both,7.33E+03,5.00E+02,0.69,0
YBL075C,Both,6.44E+03,-,0.82,0
YBL076C,Both,2.33E+04,-,0.84,0
YBL077W,None,-,-,0.04,1
YBL078C,TAP,2.01E+03,-,0.48,0
YBL079W,Both,1.56E+03,-,0.86,0
YBL080C,Both,1.39E+03,-,0.65,0
YBL081W,None,-,-,0.16,0
YBL082C,Both,#,-,0.1,0
YBL083C,None,-,-,0.12,1
YBL084C,Both,5.93E+02,8.80E+01,0.56,0
YBL085W,Both,1.04E+03,-,0.71,0
YBL086C,Both,3.96E+02,-,0.58,0
