"EnsemblID"	"Name"	"HeLa"	"description"
"5"	"ENSMUSG00000037361"	"0610009D07Rik"	"RNAbinding"	"RIKEN cDNA 0610009D07 gene [Source:MGI Symbol;Acc:MGI:1913305]"
"6"	"ENSMUSG00000046909"	"1110002N22Rik"	"RNAbinding"	"transcription elongation factor, mitochondrial [Source:MGI Symbol;Acc:MGI:1915800]"
"8"	"ENSMUSG00000052105"	"1110012J17Rik"	"RNAbinding"	"SOGA family member 2 [Source:MGI Symbol;Acc:MGI:1915867]"
"12"	"ENSMUSG00000053286"	"1190005F20Rik"	"RNAbinding"	"tRNA methyltransferase 1 like [Source:MGI Symbol;Acc:MGI:1916185]"
"14"	"ENSMUSG00000020783"	"1200014J11Rik"	"RNAbinding"	"RIKEN cDNA 1200014J11 gene [Source:MGI Symbol;Acc:MGI:1914124]"
"25"	"ENSMUSG00000021040"	"1810035L17Rik"	"RNAbinding"	"SRA stem-loop interacting RNA binding protein [Source:MGI Symbol;Acc:MGI:1916394]"
"27"	"ENSMUSG00000051671"	"1810063B05Rik"	"RNAbinding"	"cytochrome c oxidase assembly factor 6 [Source:MGI Symbol;Acc:MGI:1915142]"
"30"	"ENSMUSG00000030980"	"2310008H09Rik"	"RNAbinding"	"lysine rich nucleolar protein 1 [Source:MGI Symbol;Acc:MGI:1913606]"
"32"	"ENSMUSG00000020441"	"2310033P09Rik"	"RNAbinding"	"RIKEN cDNA 2310033P09 gene [Source:MGI Symbol;Acc:MGI:1915112]"
"35"	"ENSMUSG00000036873"	"2410004B18Rik"	"RNAbinding"	"RIKEN cDNA 2410004B18 gene [Source:MGI Symbol;Acc:MGI:1913671]"
"36"	"ENSMUSG00000001017"	"2500003M10Rik"	"RNAbinding"	"chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]"
"39"	"ENSMUSG00000019297"	"2610027L16Rik"	"RNAbinding"	"NOP9 nucleolar protein [Source:MGI Symbol;Acc:MGI:1915092]"
"41"	"ENSMUSG00000033712"	"2610301G19Rik"	"RNAbinding"	"cell cycle activator and apoptosis regulator 2 [Source:MGI Symbol;Acc:MGI:2444228]"
"42"	"ENSMUSG00000022748"	"2610528E23Rik"	"RNAbinding"	"cms small ribosomal subunit 1 [Source:MGI Symbol;Acc:MGI:1913747]"
"43"	"ENSMUSG00000021807"	"2700060E02Rik"	"RNAbinding"	"RIKEN cDNA 2700060E02 gene [Source:MGI Symbol;Acc:MGI:1915295]"
"45"	"ENSMUSG00000031984"	"2810004N23Rik"	"RNAbinding"	"RIKEN cDNA 2810004N23 gene [Source:MGI Symbol;Acc:MGI:1913773]"
"49"	"ENSMUSG00000079737"	"3110001I22Rik"	"RNAbinding"	"RIKEN cDNA 3110001I22 gene [Source:MGI Symbol;Acc:MGI:1913848]"
"50"	"ENSMUSG00000053553"	"3110082I17Rik"	"RNAbinding"	"RIKEN cDNA 3110082I17 gene [Source:MGI Symbol;Acc:MGI:1920462]"
"52"	"ENSMUSG00000022179"	"4931414P19Rik"	"RNAbinding"	"RIKEN cDNA 4931414P19 gene [Source:MGI Symbol;Acc:MGI:1921609]"
"53"	"ENSMUSG00000040412"	"5330417C22Rik"	"RNAbinding"	"RIKEN cDNA 5330417C22 gene [Source:MGI Symbol;Acc:MGI:1923930]"
"63"	"ENSMUSG00000045838"	"A430105I19Rik"	"RNAbinding"	"RIKEN cDNA A430105I19 gene [Source:MGI Symbol;Acc:MGI:2685199]"
"68"	"ENSMUSG00000018697"	"Aatf"	"RNAbinding"	"apoptosis antagonizing transcription factor [Source:MGI Symbol;Acc:MGI:1929608]"
"71"	"ENSMUSG00000038762"	"Abcf1"	"RNAbinding"	"ATP-binding cassette, sub-family F (GCN20), member 1 [Source:MGI Symbol;Acc:MGI:1351658]"
"73"	"ENSMUSG00000036376"	"Abt1"	"RNAbinding"	"activator of basal transcription 1 [Source:MGI Symbol;Acc:MGI:1353636]"
"77"	"ENSMUSG00000036880"	"Acaa2"	"RNAbinding"	"acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) [Source:MGI Symbol;Acc:MGI:1098623]"
"81"	"ENSMUSG00000022185"	"Acin1"	"RNAbinding"	"apoptotic chromatin condensation inducer 1 [Source:MGI Symbol;Acc:MGI:1891824]"
"88"	"ENSMUSG00000054808"	"Actn4"	"RNAbinding"	"actinin alpha 4 [Source:MGI Symbol;Acc:MGI:1890773]"
"91"	"ENSMUSG00000027951"	"Adar"	"RNAbinding"	"adenosine deaminase, RNA-specific [Source:MGI Symbol;Acc:MGI:1889575]"
"93"	"ENSMUSG00000052551"	"Adarb2"	"RNAbinding"	"adenosine deaminase, RNA-specific, B2 [Source:MGI Symbol;Acc:MGI:2151118]"
"94"	"ENSMUSG00000029106"	"Add1"	"RNAbinding"	"adducin 1 (alpha) [Source:MGI Symbol;Acc:MGI:87918]"
"95"	"ENSMUSG00000039197"	"Adk"	"RNAbinding"	"adenosine kinase [Source:MGI Symbol;Acc:MGI:87930]"
"104"	"ENSMUSG00000069833"	"Ahnak"	"RNAbinding"	"AHNAK nucleoprotein (desmoyokin) [Source:MGI Symbol;Acc:MGI:1316648]"
"108"	"ENSMUSG00000047423"	"AI837181"	"RNAbinding"	"expressed sequence AI837181 [Source:MGI Symbol;Acc:MGI:2147598]"
"115"	"ENSMUSG00000018428"	"Akap1"	"RNAbinding"	"A kinase (PRKA) anchor protein 1 [Source:MGI Symbol;Acc:MGI:104729]"
"119"	"ENSMUSG00000024045"	"Akap8"	"RNAbinding"	"A kinase (PRKA) anchor protein 8 [Source:MGI Symbol;Acc:MGI:1928488]"
"120"	"ENSMUSG00000002625"	"Akap8l"	"RNAbinding"	"A kinase (PRKA) anchor protein 8-like [Source:MGI Symbol;Acc:MGI:1860606]"
"123"	"ENSMUSG00000025007"	"Aldh18a1"	"RNAbinding"	"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]"
"124"	"ENSMUSG00000021238"	"Aldh6a1"	"RNAbinding"	"aldehyde dehydrogenase family 6, subfamily A1 [Source:MGI Symbol;Acc:MGI:1915077]"
"130"	"ENSMUSG00000042650"	"Alkbh5"	"RNAbinding"	"alkB, alkylation repair homolog 5 (E. coli) [Source:MGI Symbol;Acc:MGI:2144489]"
"132"	"ENSMUSG00000025134"	"Alyref"	"RNAbinding"	"Aly/REF export factor [Source:MGI Symbol;Acc:MGI:1341044]"
"133"	"ENSMUSG00000060244"	"Alyref2"	"RNAbinding"	"Aly/REF export factor 2 [Source:MGI Symbol;Acc:MGI:1913144]"
"138"	"ENSMUSG00000024483"	"Ankhd1"	"RNAbinding"	"ankyrin repeat and KH domain containing 1 [Source:MGI Symbol;Acc:MGI:1921733]"
"139"	"ENSMUSG00000055204"	"Ankrd17"	"RNAbinding"	"ankyrin repeat domain 17 [Source:MGI Symbol;Acc:MGI:1932101]"
"144"	"ENSMUSG00000032231"	"Anxa2"	"RNAbinding"	"annexin A2 [Source:MGI Symbol;Acc:MGI:88246]"
"150"	"ENSMUSG00000032590"	"Apeh"	"RNAbinding"	"acylpeptide hydrolase [Source:MGI Symbol;Acc:MGI:88041]"
"152"	"ENSMUSG00000027193"	"Api5"	"RNAbinding"	"apoptosis inhibitor 5 [Source:MGI Symbol;Acc:MGI:1888993]"
"158"	"ENSMUSG00000040383"	"Aqr"	"RNAbinding"	"aquarius [Source:MGI Symbol;Acc:MGI:1276102]"
"159"	"ENSMUSG00000032096"	"Arcn1"	"RNAbinding"	"archain 1 [Source:MGI Symbol;Acc:MGI:2387591]"
"167"	"ENSMUSG00000040940"	"Arhgef1"	"RNAbinding"	"Rho guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:1353510]"
